timestamp,utility_voltage,output_voltage,load_wattage
2024-01-12 18:30:53,121,121,189
2024-01-12 18:30:54,121,121,189
2024-01-12 18:30:54,121,121,162
2024-01-12 18:30:55,121,121,162
2024-01-12 18:30:55,121,121,162
2024-01-12 18:30:56,121,121,162
2024-01-12 18:30:56,121,121,162
2024-01-12 18:30:57,121,121,162
2024-01-12 18:30:57,121,121,180
2024-01-12 18:30:58,121,121,180
2024-01-12 18:30:59,121,121,180
2024-01-12 18:30:59,121,121,180
2024-01-12 18:31:00,121,121,180
2024-01-12 18:31:00,121,121,180
2024-01-12 18:31:01,121,121,171
2024-01-12 18:31:01,121,121,171
2024-01-12 18:31:02,121,121,171
2024-01-12 18:31:02,121,121,171
2024-01-12 18:31:03,121,121,171
2024-01-12 18:31:03,121,121,171
2024-01-12 18:31:04,121,121,189
2024-01-12 18:31:04,121,121,189
2024-01-12 18:31:05,121,121,189
2024-01-12 18:31:05,121,121,189
2024-01-12 18:31:06,121,121,189
2024-01-12 18:31:06,121,121,189
2024-01-12 18:31:07,121,121,171
2024-01-12 18:31:07,121,121,171
2024-01-12 18:31:08,121,121,171
2024-01-12 18:31:08,121,121,171
2024-01-12 18:31:09,121,121,171
2024-01-12 18:31:09,121,121,162
2024-01-12 18:31:10,121,121,162
2024-01-12 18:31:10,121,121,162
2024-01-12 18:31:11,121,121,162
2024-01-12 18:31:12,121,121,162
2024-01-12 18:31:12,121,121,162
2024-01-12 18:31:13,121,121,162
2024-01-12 18:31:13,121,121,162
2024-01-12 18:31:14,121,121,162
2024-01-12 18:31:14,121,121,162
2024-01-12 18:31:15,121,121,162
2024-01-12 18:31:15,121,121,162
2024-01-12 18:31:16,121,121,180
2024-01-12 18:31:16,121,121,180
2024-01-12 18:31:17,121,121,180
2024-01-12 18:31:17,121,121,180
2024-01-12 18:31:18,121,121,180
2024-01-12 18:31:18,121,121,180
2024-01-12 18:31:19,121,121,171
2024-01-12 18:31:19,121,121,171
2024-01-12 18:31:20,121,121,171
2024-01-12 18:31:20,121,121,171
2024-01-12 18:31:21,121,121,171
2024-01-12 18:31:21,121,121,180
2024-01-12 18:31:22,121,121,180
2024-01-12 18:31:22,121,121,180
2024-01-12 18:31:23,121,121,180
2024-01-12 18:31:23,121,121,180
2024-01-12 18:31:24,121,121,180
2024-01-12 18:31:24,121,121,180
2024-01-12 18:31:25,121,121,180
2024-01-12 18:31:26,121,121,180
2024-01-12 18:31:26,121,121,180
2024-01-12 18:31:27,121,121,180
2024-01-12 18:31:27,121,121,180
2024-01-12 18:31:28,121,121,171
2024-01-12 18:31:28,121,121,171
2024-01-12 18:31:29,121,121,171
2024-01-12 18:31:29,121,121,171
2024-01-12 18:31:30,121,121,171
2024-01-12 18:31:30,121,121,171
2024-01-12 18:31:31,121,121,171
2024-01-12 18:31:31,121,121,171
2024-01-12 18:31:32,121,121,171
2024-01-12 18:31:32,121,121,171
2024-01-12 18:31:33,121,121,171
2024-01-12 18:31:33,121,121,171
2024-01-12 18:31:34,121,121,171
2024-01-12 18:31:34,121,121,171
2024-01-12 18:31:35,121,121,171
2024-01-12 18:31:35,121,121,171
2024-01-12 18:31:36,121,121,171
2024-01-12 18:31:36,121,121,171
2024-01-12 18:31:37,121,121,171
2024-01-12 18:31:38,121,121,171
2024-01-12 18:31:38,121,121,171
2024-01-12 18:31:39,121,121,171
2024-01-12 18:31:39,121,121,171
2024-01-12 18:31:40,121,121,189
2024-01-12 18:31:40,121,121,189
2024-01-12 18:31:41,121,121,189
2024-01-12 18:31:41,121,121,189
2024-01-12 18:31:42,121,121,189
2024-01-12 18:31:42,121,121,189
2024-01-12 18:31:43,121,121,216
2024-01-12 18:31:43,121,121,216
2024-01-12 18:31:44,121,121,216
2024-01-12 18:31:44,121,121,216
2024-01-12 18:31:45,121,121,216
2024-01-12 18:31:45,121,121,198
