timestamp,utility_voltage,output_voltage,load_wattage
2024-01-12 18:44:54,121,121,261
2024-01-12 18:44:55,121,121,261
2024-01-12 18:44:56,121,121,261
2024-01-12 18:44:57,121,121,270
2024-01-12 18:44:58,121,121,270
2024-01-12 18:44:59,121,121,270
2024-01-12 18:45:00,121,121,342
2024-01-12 18:45:01,121,121,342
2024-01-12 18:45:02,121,121,342
2024-01-12 18:45:03,121,121,288
2024-01-12 18:45:04,121,121,288
2024-01-12 18:45:05,121,121,288
2024-01-12 18:45:06,121,121,288
2024-01-12 18:45:07,121,121,288
2024-01-12 18:45:08,121,121,288
2024-01-12 18:45:09,121,121,414
2024-01-12 18:45:11,121,121,414
2024-01-12 18:45:12,121,121,414
2024-01-12 18:45:13,121,121,351
2024-01-12 18:45:14,121,121,351
2024-01-12 18:45:15,121,121,351
2024-01-12 18:45:16,121,121,306
2024-01-12 18:45:17,121,121,306
2024-01-12 18:45:18,121,121,297
2024-01-12 18:45:19,121,121,297
2024-01-12 18:45:20,121,121,297
2024-01-12 18:45:21,121,121,297
2024-01-12 18:45:22,121,121,297
2024-01-12 18:45:23,121,121,297
2024-01-12 18:45:24,121,121,297
2024-01-12 18:45:25,121,121,297
2024-01-12 18:45:26,121,121,297
2024-01-12 18:45:27,121,121,306
2024-01-12 18:45:28,121,121,306
2024-01-12 18:45:29,121,121,306
2024-01-12 18:45:30,121,121,306
2024-01-12 18:45:31,121,121,306
2024-01-12 18:45:32,121,121,306
2024-01-12 18:45:33,121,121,297
2024-01-12 18:45:34,121,121,297
2024-01-12 18:45:35,121,121,297
2024-01-12 18:45:37,120,120,342
2024-01-12 18:45:38,120,120,342
2024-01-12 18:45:39,120,120,342
2024-01-12 18:45:40,120,120,297
2024-01-12 18:45:41,120,120,297
2024-01-12 18:45:42,120,120,297
2024-01-12 18:45:43,120,120,342
2024-01-12 18:45:44,120,120,342
2024-01-12 18:45:45,120,120,306
2024-01-12 18:45:46,120,120,306
2024-01-12 18:45:47,120,120,306
2024-01-12 18:45:48,120,120,351
2024-01-12 18:45:49,120,120,351
2024-01-12 18:45:50,120,120,351
2024-01-12 18:45:51,120,120,297
2024-01-12 18:45:52,120,120,297
2024-01-12 18:45:53,120,120,297
2024-01-12 18:45:54,120,120,333
2024-01-12 18:45:55,120,120,333
2024-01-12 18:45:56,120,120,333
2024-01-12 18:45:57,120,120,306
2024-01-12 18:45:58,120,120,306
2024-01-12 18:45:59,120,120,306
2024-01-12 18:46:00,120,120,342
